TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA
CSRN6;16,39;2,15;8,55;2,10;0,59;23,60;17,42;12,31;6,04;9,15;3,16;1,10;1,05;6,39;-0,77;1,68;24,58;6,93;12,19;0,28;0,72;0,56;10,15;5,29;45.889,75;7,80;1,92
CTCA3;0,00;;0,00;0,00;0,00;64,04;23,48;16,83;0,00;-1,83;-1,83;-0,20;0,00;0,00;0,00;2,86;7,98;6,00;5,83;0,75;0,25;0,36;26,66;30,12;;1,86;0,15
CTKA3;25,01;;1,15;-0,77;0,31;39,59;27,74;37,10;1,54;6,04;4,73;;0,43;1,31;-0,79;1,62;-67,24;26,65;20,91;-0,40;1,40;0,72;0,27;;143.409,90;-32,37;21,77
CTKA4;18,10;;0,83;-0,56;0,22;39,59;27,74;37,10;1,11;6,04;4,73;;0,31;0,95;-0,57;1,62;-67,24;26,65;20,91;-0,40;1,40;0,72;0,27;;233.176,08;-32,37;21,77
CTNM3;12,20;;-1,71;0,45;0,09;30,47;-1,66;-12,13;-12,49;-52,05;-43,22;1,55;0,21;2,96;-0,14;1,09;-26,15;-5,17;-3,60;0,20;0,64;0,43;-5,30;;51.406,19;27,26;-7,13
CTNM4;5,65;;-0,79;0,21;0,04;30,47;-1,66;-12,13;-5,78;-52,05;-43,22;1,55;0,10;1,37;-0,06;1,09;-26,15;-5,17;-3,60;0,20;0,64;0,43;-5,30;;134.680,18;27,26;-7,13
CTSA3;2,37;1,28;-16.486,18;0,92;0,41;18,14;4,42;0,00;13,25;24,31;11,06;0,77;0,59;13,23;-0,76;1,07;-0,01;0,00;2,79;0,45;0,55;0,71;2,57;61,71;25.852,97;2,56;0,00
CTSA4;1,91;1,59;-13.286,33;0,74;0,33;18,14;4,42;0,00;10,68;24,31;11,06;0,77;0,47;10,66;-0,61;1,07;-0,01;0,00;2,79;0,45;0,55;0,71;2,57;61,71;35.883,37;2,56;0,00
CTSA8;0,00;;0,00;0,00;0,00;18,14;4,42;0,00;0,00;24,31;11,06;0,77;0,00;0,00;0,00;1,07;-0,01;0,00;2,79;0,45;0,55;0,71;2,57;61,71;;2,56;0,00
CURY3;10,80;;18,17;6.857,39;1.755,90;35,84;19,91;12,73;11,62;11,62;0,00;-0,66;2,31;4.350,73;-12.113,51;1,89;37.741,48;9.664,08;25.609,78;0,26;0,65;758,86;;;8.307.362,03;0,00;0,59
CVCB3;19,04;;-1,94;-9,91;0,65;81,82;-155,58;-207,35;-2,58;-2,85;-0,28;;4,01;-2,74;-2,24;0,75;-512,04;-33,62;-93,72;-0,07;1,06;0,16;19,77;-20,22;162.408.726,68;-1,92;-9,84
CYRE3;25,63;7,09;6,22;1,64;0,90;32,48;54,65;41,20;4,69;4,94;0,25;0,09;2,56;2,86;-1,70;3,01;26,32;14,47;19,26;0,55;0,43;0,35;-7,54;-8,46;164.394.360,32;15,66;4,12
DASA3;172,00;0,17;-433,72;21,23;6,66;24,99;1,31;-3,24;1.072,03;1.116,52;44,49;0,88;14,05;64,33;-9,64;1,50;-4,89;-1,54;-0,26;0,31;0,69;0,47;10,10;9,52;463.362,94;8,10;-0,40
